FECHA,IN0081-Control Presostato No Hay Aire en Red.x,IN0191-Control Automático Extractor Humo,Dbx 27.1,Falta Comunicación PLC Depósito,IN0273-Control Rosca Salida,IN0241-Control Presostato Correa Ventilad. 2 Campana,IN0570-Control Estrella Entrada,IN0054-Señal Ftc Presencia Botella Caída,Estrellas Llenadora,IN0086-Control Sobretemperatura Armario,Alimentador Tapones Vacío,IN0090-Control Automático Motor Cinta,Dbx 35.1,Error Acoplam. Enjuagadora,INA0227-Avería Sonda Presión Circuito Vacío Bajo,IN0034-Control Disp. Automáticos Intervenidos Grave,IN0180-Control Presostato Tratamiento 1,IN0186-Control Presostato Soplado Gotas,IN0377- Ajuste Auto. Anillo Dispositivos,IN0320-IN0321-Leva Desc. Conos Delanteros Desalin.,IN0305-Control Botella Explotada Salida,IN0196-Control Presostato Correa Ventilador 1 Campana Enjuagadora,IN0234-Control Posición Pirómetro,IN0484-Control Bloq. Inversor Motor Cabezales (,Botella Rota TV,IN0954-Control Automáticos Circuitos 480V CA Drive,OUT0031-Mando Disposit. Engrase,IN0052-Señal Bloq. Botellas Activad. de Línea,OUT0204-Lubricación en Curso,Vel. Lenta Seleccionada,INA0227-Vacío Bajo Demasiado Alto,IN0002-Auxiliares No Presentes,IN0047-Señal Lenta de Línea Salida,IN0083-Selector Panel de Mando Volante Habilitado,IN0474-Control Protecciones Delanteras Abiertas,IN0046-Señal Paro de  Línea Salida,IN0040-Señal Ftc Lenta Ninguna Botella Entrada,INA0200-Nivel Mínimo Depósito,INA0227-Vacío Bajo Demasiado Bajo,IN0042-Señal Paro Ftc Acum. Bot. Salida.y,IN0475-Control Protecciones Traseras Abiertas,Señal Ftc Lenta Acum. Bot. Salida,Elevación en Curso,IN0081-Control Presostato No Hay Aire en Red.y,IN0061-Control Presostato No Gas Inerte,INA0200-Nivel Máximo Depósito,Máquina ligeramente Desfasada,IN0594-Control Auto. Motor Ajuste Émbolos,OUT0207-Presión Cilindros Demasiado Baja
2023-01-23,0,2,0,0,0,1,5,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,5,80,21,133,3,72,32,3,0,23,1,3,3,0,0,0,0,0,0,0,0
2023-01-24,0,1,4,1,0,4,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,178,67,350,126,174,154,44,8,39,0,5,7,21,1,1,1,0,0,0,0,0,0
2023-01-25,0,0,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,421,77,176,40,74,289,8,5,105,23,1,5,3,0,3,0,0,0,0,0,0,0
2023-01-26,0,2,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,383,74,142,20,58,290,7,4,80,7,37,9,2,0,1,1,0,0,0,0,0,0
2023-01-27,0,1,4,0,1,8,9,5,9,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,123,56,248,247,229,34,103,47,3,9,9,79,20,0,1,1,0,0,7,0,0,0
2023-01-28,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,20,137,13,39,38,10,3,13,1,1,298,0,1,0,0,0,0,0,0,0,0
2023-01-30,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-31,0,0,5,0,0,4,4,7,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,236,42,286,158,291,121,131,28,26,30,8,43,14,0,5,0,0,0,0,0,0,0
2023-02-01,0,0,3,0,0,0,0,15,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,8,112,49,214,71,105,110,27,6,18,2,25,34,6,0,7,0,0,0,0,0,0,0
2023-02-02,0,0,2,1,0,2,4,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,112,43,135,60,111,70,22,9,28,1,8,11,9,0,2,0,0,0,0,0,0,0
2023-02-03,0,0,3,0,0,5,7,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,131,38,106,61,120,116,22,13,19,11,12,13,14,0,0,0,2,3,0,0,0,0
2023-02-04,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,18,49,32,36,4,11,4,1,1,17,1,1,0,0,0,0,0,0,0,0,0
2023-02-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,35,0,8,2,0,0,0,0,0,1,0,0,2,1,0,0,0,0
2023-02-07,0,1,3,0,0,7,6,3,5,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,104,47,114,85,159,67,79,16,28,13,1,4,4,0,0,4,1,0,0,0,0,0
2023-02-08,0,1,0,1,0,8,5,5,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,171,44,194,54,150,57,42,24,23,18,11,42,2,0,0,0,0,0,0,0,0,0
2023-02-09,0,4,3,0,0,0,0,1,12,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,0,0,2,101,18,65,14,38,52,14,5,38,15,1,12,0,0,12,0,0,0,0,26,0,0
2023-02-10,0,0,1,5,0,1,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,31,23,23,31,64,4,32,12,0,0,8,0,3,0,0,6,1,0,0,0,0,0
2023-02-11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,9,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2023-02-13,0,2,6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,122,40,141,60,96,74,76,13,23,3,17,26,3,1,0,16,0,0,7,0,0,0
2023-02-14,0,2,1,0,0,8,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,181,44,296,79,116,108,29,33,24,13,85,44,3,0,0,0,0,0,0,0,0,0
2023-02-15,0,0,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,88,33,109,49,92,45,24,8,13,4,6,6,5,0,0,0,0,0,0,0,0,0
2023-02-16,0,2,0,2,0,7,4,1,7,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,209,33,149,51,98,197,38,6,45,6,10,17,0,0,0,6,0,0,5,0,0,0
2023-02-17,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,274,56,238,23,39,186,4,0,86,13,0,7,0,0,2,0,0,0,0,0,0,0
2023-02-18,0,1,0,0,0,0,0,6,1,0,4,0,0,3,0,0,0,0,0,0,0,22,0,0,0,0,7,142,44,80,58,115,100,104,10,29,11,3,40,5,1,0,9,0,0,0,0,0,42
2023-02-19,0,0,1,0,0,0,0,1,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,6,223,37,38,16,51,165,4,0,57,7,2,2,2,0,1,0,0,0,1,0,0,0
2023-02-20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,29,0,6,14,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-21,0,2,2,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,270,59,157,82,115,169,41,46,30,15,1,0,4,0,0,0,0,0,0,0,0,0
2023-02-22,0,1,1,0,0,4,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,224,49,126,48,85,140,14,17,55,27,0,0,8,0,0,0,0,0,0,0,0,0
2023-02-23,0,0,0,0,0,8,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,148,53,227,123,169,95,53,12,23,41,5,0,16,0,0,0,0,0,0,0,0,0
2023-02-24,0,3,0,0,1,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,217,59,137,40,61,122,5,4,32,32,1,5,4,0,0,0,0,0,0,0,0,2
2023-02-25,0,0,0,0,0,2,2,0,3,1,0,0,0,0,0,5,0,0,0,0,0,9,1,0,0,0,2,69,18,49,31,85,32,40,14,10,17,0,1,3,2,0,18,3,0,15,0,0,0
2023-02-26,0,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,12,9,35,0,49,3,0,0,0,18,0,0,0,6,0,0,37,0,0,0
2023-02-28,0,0,10,0,0,6,7,4,0,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,88,24,65,66,139,40,60,10,7,10,50,14,15,0,0,1,1,2,6,0,0,0
2023-03-01,0,2,6,3,0,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,187,64,165,138,176,89,87,79,30,29,14,5,14,0,1,0,0,0,0,0,0,0
2023-03-02,0,0,0,2,2,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,188,61,375,96,182,88,58,101,34,19,6,0,9,0,1,0,0,0,0,0,0,0
2023-03-03,0,1,2,3,0,7,3,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,192,54,221,94,144,101,21,28,37,11,40,18,5,0,2,1,0,0,10,0,0,0
2023-03-04,0,0,0,0,1,11,6,6,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,6,240,53,233,36,116,118,38,24,48,10,13,32,1,0,2,0,0,0,8,0,0,0
2023-03-05,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,203,58,225,16,24,146,6,0,51,6,0,11,0,0,0,0,0,0,6,0,0,0
2023-03-08,0,0,1,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,170,39,13,7,50,119,13,7,47,16,1,1,0,0,0,3,0,0,0,0,0,0
2023-03-09,0,0,0,0,0,2,4,6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,107,40,31,5,34,88,2,14,21,2,2,6,1,0,0,0,0,0,0,0,0,0
2023-03-10,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,10,7,8,30,18,34,13,2,0,27,0,2,0,0,2,0,0,3,0,0,0
2023-03-11,0,2,1,8,0,2,3,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,118,34,128,17,59,68,53,7,30,6,29,8,0,0,0,6,0,0,0,0,0,0
2023-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,8,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
2023-03-13,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,7,2,6,15,68,0,0,28,0,0,3,0,0,1,0,0,0,0,0,0,0
2023-03-14,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,283,43,71,41,51,171,12,2,91,8,0,15,8,0,0,0,0,0,0,0,0,0
2023-03-15,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,64,17,15,10,11,40,0,0,25,0,0,14,3,0,0,0,0,0,0,0,0,0
2023-03-16,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,321,64,62,16,39,209,3,1,104,12,0,8,2,0,0,0,0,0,0,0,0,0
2023-03-17,0,0,4,0,0,2,4,10,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,154,49,75,61,105,84,40,28,24,21,14,21,2,0,2,0,0,0,0,0,0,0
2023-03-18,0,16,0,1,3,2,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,85,50,131,194,258,33,78,70,3,0,3,35,27,0,2,0,0,0,0,0,0,0
2023-03-19,0,1,3,5,1,3,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,116,50,164,127,173,48,72,75,14,9,20,22,6,0,0,0,0,0,0,0,0,0
2023-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-22,1,2,0,0,0,0,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,68,37,64,33,57,32,50,27,14,0,4,0,8,0,1,20,0,0,0,0,0,0
2023-03-23,3,1,0,0,0,0,8,1,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,196,58,162,61,104,124,39,23,55,5,3,6,2,0,1,8,0,0,0,0,0,0
2023-03-24,0,1,2,1,0,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,255,56,135,93,143,152,48,30,28,8,25,21,15,0,1,0,0,0,3,0,0,0
2023-03-25,0,2,0,4,0,3,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,353,66,238,46,71,228,46,4,72,27,20,7,1,0,0,1,0,0,0,0,0,0
2023-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-27,0,1,7,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,46,0,17,25,0,0,10,0,0,0,0,12,0,0,0,0,0,0
2023-03-28,0,4,2,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,356,85,126,458,115,155,64,29,66,7,11,11,10,0,2,0,0,0,3,0,0,0
2023-03-29,0,1,1,0,1,7,1,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,230,50,150,110,156,118,37,19,48,10,20,22,9,0,1,0,0,0,0,0,0,0
2023-03-30,0,1,1,3,0,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,110,59,107,83,134,44,34,28,13,9,14,16,17,0,16,0,0,0,11,0,0,0
2023-03-31,0,2,0,6,0,1,4,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,290,55,147,43,72,156,16,13,84,5,17,12,0,0,0,0,0,0,21,0,0,0
2023-04-01,0,1,1,4,0,5,0,10,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,9,270,72,124,144,176,115,54,51,64,13,15,0,36,0,0,0,0,0,1,0,0,0
2023-04-02,0,1,6,0,1,4,3,3,2,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,35,23,111,33,61,14,12,18,7,3,20,19,3,0,0,1,0,0,5,0,0,0
2023-04-03,0,0,0,0,0,4,2,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,45,13,89,24,52,11,8,9,3,1,8,9,1,0,0,0,0,0,0,0,0,0
2023-04-04,0,0,0,1,0,0,0,1,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,495,67,172,54,92,252,29,11,172,27,3,21,0,0,7,20,5,2,2,0,0,0
2023-04-05,0,3,1,2,0,1,5,1,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,209,39,177,102,181,84,82,58,51,28,35,12,14,0,0,5,1,0,0,0,0,0
2023-04-06,0,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,69,17,88,11,21,29,11,2,13,13,15,15,0,0,0,0,0,0,0,0,0,0
2023-04-12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,6,7,15,17,45,0,4,29,8,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,106,25,49,22,27,59,7,5,26,0,5,0,0,0,0,0,0,0,0,0,0,0
2023-04-14,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,2,47,18,35,0,10,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2023-04-17,0,0,2,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,25,50,36,62,13,7,4,7,9,0,10,5,1,0,0,0,0,0,0,0,0
2023-04-18,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,110,35,45,60,83,55,0,4,33,6,0,15,3,1,0,0,0,0,0,0,0,0
2023-04-19,0,0,7,0,0,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,155,52,28,61,71,77,30,30,34,18,0,2,2,0,0,0,0,0,0,0,0,0
2023-04-20,0,2,2,3,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,315,59,102,75,60,115,23,19,102,19,21,1,1,0,0,6,0,0,0,0,0,0
2023-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,77,26,22,14,23,27,0,8,31,0,0,0,4,0,5,0,0,0,0,0,0,0
2023-04-22,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53,24,33,305,47,13,23,19,9,4,0,0,6,0,2,0,0,0,1,0,0,0
2023-04-24,0,0,11,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,133,39,78,144,144,61,39,21,31,1,1,5,13,3,0,0,4,0,0,0,0,0
2023-04-25,0,0,0,1,0,7,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,153,73,133,235,275,67,166,71,31,12,18,0,37,0,6,0,0,0,0,0,0,0
2023-04-26,0,3,7,6,0,3,3,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,8,272,78,121,126,197,125,68,31,74,46,49,1,19,1,1,7,0,0,0,0,0,0
2023-04-27,0,7,3,2,0,6,8,6,3,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,157,55,151,128,211,56,52,31,46,13,3,21,4,8,5,2,0,0,0,0,0,0
2023-04-28,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,584,75,114,31,44,330,13,3,184,24,1,9,2,0,1,0,0,0,0,0,0,0
2023-04-29,0,2,0,0,0,3,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,320,52,40,32,50,217,18,15,85,12,8,3,3,0,0,0,0,0,5,0,0,0
2023-05-02,0,0,0,0,0,4,1,9,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,120,34,40,64,93,45,23,13,11,8,3,0,9,0,0,0,0,0,0,0,0,0
2023-05-03,1,2,0,0,0,0,2,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,427,81,50,64,125,211,24,7,152,10,0,0,5,0,0,0,0,0,0,0,0,0
2023-05-04,0,1,0,1,0,3,4,8,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,449,71,139,920,135,183,55,22,161,7,7,0,13,0,29,4,0,0,5,0,0,0
2023-05-05,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,118,20,9,179,36,47,10,2,22,0,8,0,10,0,0,1,0,0,20,0,0,0
2023-05-08,0,16,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65,31,10,20,24,37,17,0,19,1,4,4,3,0,0,0,0,0,0,0,0,0
2023-05-09,0,10,1,2,0,4,9,0,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,213,60,122,102,176,109,45,19,58,19,12,35,7,2,0,1,0,0,3,0,0,0
2023-05-10,0,1,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,545,75,71,47,84,371,29,4,144,53,19,19,2,1,5,3,0,0,0,0,0,0
2023-05-11,0,4,0,2,0,6,6,0,0,0,8,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,12,217,64,127,176,224,66,75,21,35,16,10,4,32,0,0,1,0,0,0,0,0,0
2023-05-12,0,1,2,4,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,221,58,43,20,64,90,19,15,71,6,27,1,0,0,0,0,0,0,0,0,0,0
2023-05-17,0,1,0,0,0,6,4,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,115,25,88,28,59,54,24,8,8,15,3,0,0,0,0,0,1,0,0,7,0,0
2023-05-18,0,3,1,3,1,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,183,71,186,91,137,75,30,16,23,32,17,0,4,0,0,0,0,0,0,0,0,0
2023-05-19,0,0,0,1,1,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,348,93,85,62,75,160,27,33,76,16,1,0,12,0,1,0,0,0,0,0,0,0
2023-05-20,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,160,56,13,1,2,115,2,0,47,5,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-22,0,0,3,3,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,85,50,99,100,146,48,19,61,13,3,16,0,8,4,2,0,0,0,0,0,0,0
2023-05-23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,90,27,31,34,39,56,8,6,13,1,0,0,1,2,0,0,0,0,0,0,0,0
2023-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,186,27,28,55,69,70,39,5,57,5,0,3,2,0,0,0,0,0,0,0,0,0
2023-05-30,0,1,2,0,0,4,1,3,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,13,567,94,40,82,113,316,33,18,165,30,1,17,4,3,0,0,0,0,0,0,0,0
2023-05-31,0,0,2,0,0,0,0,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,277,65,94,54,80,152,47,9,67,34,12,27,0,0,11,3,0,0,12,0,0,0
2023-06-01,0,0,0,1,0,1,3,5,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,181,54,100,70,112,103,51,30,41,13,10,10,2,0,2,1,0,0,3,0,0,0
2023-06-02,0,4,5,2,0,10,6,5,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,269,73,141,87,124,139,51,31,70,22,11,275,6,0,0,0,0,0,0,0,0,0
2023-06-03,0,1,6,0,0,0,0,0,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,84,84,40,40,54,32,9,2,32,13,0,2,11,0,0,0,0,0,2,0,0,0
2023-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-06,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-09,0,0,0,0,0,0,0,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,18,17,0,0,0,0,0,5,0,0,1,0,0,0,0,0
2023-06-10,0,0,1,0,0,0,3,2,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88,47,156,0,57,16,0,0,6,0,0,11,0,0,0,0,0,0,0,0
2023-06-11,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-12,0,1,3,0,3,0,0,6,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,68,16,49,17,84,41,8,1,23,0,9,14,0,0,1,0,5,3,0,4,0,0
2023-06-13,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,216,55,3,3,3,120,0,0,76,3,1,4,1,0,0,0,0,0,0,0,0,0
2023-06-14,0,22,1,0,0,0,0,4,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,226,59,84,18,21,116,4,7,82,8,0,16,16,0,0,0,0,0,0,0,0,0


2023-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0